date,book,ticker,shares,weight,gross_market_value,net_market_value,name,industry_labels,market_value
2026-07-20,long,US.UNP,414.70046167376574,0.10644464225526362,122855.0117708531,122855.0117708531,联合太平洋,铁路运输,122855.0117708531
2026-07-20,long,US.CVX,623.0483009954647,0.10241011856577865,118198.49318184961,118198.49318184961,雪佛龙,综合油气,118198.49318184961
2026-07-20,long,US.PBR,6427.696525636799,0.10130222677136742,116919.79980133339,116919.79980133339,巴西石油公司,综合油气,116919.79980133339
2026-07-20,long,US.EQNR,3106.922826971317,0.10054303735611662,116043.5675873787,116043.5675873787,Equinor,综合油气,116043.5675873787
2026-07-20,long,US.BP,2758.475910497829,0.10038051393813263,115855.98824090882,115855.98824090882,英国石油,综合油气,115855.98824090882
2026-07-20,long,US.XOM,778.615989719605,0.1000854789232115,115515.4682348006,115515.4682348006,埃克森美孚,综合油气,115515.4682348006
2026-07-20,long,US.SHEL,1335.4065310253814,0.09973594122912488,115112.04297438788,115112.04297438788,壳牌,综合油气,115112.04297438788
2026-07-20,long,US.PANW,323.8129705489671,0.09781991821650281,112900.63031160287,112900.63031160287,Palo Alto Networks,软件基础设施,112900.63031160287
2026-07-20,long,US.TMUS,563.9485964793034,0.09559344282703834,110330.90341521091,110330.90341521091,T-Mobile US,电信服务,110330.90341521091
2026-07-20,long,US.SPGI,244.41967193223647,0.09494765864991138,109585.55991081822,109585.55991081822,标普全球,金融数据与证券交易所,109585.55991081822
