ticker,name,exchange,security_type,is_adr,primary_listing_country,market_cap,shares_outstanding,ipo_date,industry_labels,concept_labels,region_labels,has_any_plate,market_cap_billion,in_strategy_whitelist
US.NVDA,英伟达,NASDAQ,common stock,False,US,5019080000000.0,23330891375,1999-01-22,半导体,AI PC | AI眼镜概念股 | AI芯片 | ARK持仓 | BATMMAAN | IDC概念 | 人工智能 | 佩洛西持仓 | 元宇宙概念 | 区块链概念 | 半导体精选 | 无人驾驶 | 明星科技股 | 星际之门概念股 | 智能驾驶概念股 | 机器人概念股 | 段永平持仓概念 | 美国降息利好概念 | 脑机接口,,True,5019.08,True
US.AAPL,苹果,NASDAQ,common stock,False,US,4894708260560.0,14642591784,1980-12-12,消费电子产品,5G概念 | AI PC | AI眼镜概念股 | ARK持仓 | BATMMAAN | DeepSeek概念股 | ESG概念 | 人脸识别 | 佩洛西持仓 | 元宇宙概念 | 巴菲特持仓 | 数字音乐 | 无人驾驶 | 无线充电 | 明星科技股 | 智能家居 | 段永平持仓概念 | 流媒体概念 | 美国降息利好概念 | 虚拟现实,,True,4894.70826056,False
US.GOOGL,谷歌-A,NASDAQ,common stock,False,US,4294637360000.0,10813500930,2004-08-19,互联网内容与信息,AI眼镜概念股 | AI芯片 | BATMMAAN | SaaS概念 | 云计算服务商 | 人工智能 | 佩洛西持仓 | 元宇宙概念 | 巴菲特持仓 | 搜索引擎 | 无人驾驶 | 明星科技股 | 智能家居 | 智能驾驶概念股 | 流媒体概念 | 美国降息利好概念 | 量子计算概念,,True,4294.63736,True
US.GOOG,谷歌-C,NASDAQ,common stock,False,US,4286761960000.0,10812161530,2014-03-27,互联网内容与信息,AI芯片 | ARK持仓 | DeepSeek概念股 | SaaS概念 | 元宇宙概念 | 搜索引擎 | 无人驾驶 | 明星科技股 | 段永平持仓概念 | 流媒体概念 | 美国降息利好概念 | 虚拟现实 | 远程办公概念,,True,4286.76196,True
US.MSFT,微软,NASDAQ,common stock,False,US,2979545159774.4,7422653437,1986-03-14,软件基础设施,AI PC | AI眼镜概念股 | AI芯片 | ARK持仓 | BATMMAAN | SaaS概念 | 云计算服务商 | 人工智能 | 人脸识别 | 佩洛西持仓 | 元宇宙概念 | 搜索引擎 | 明星科技股 | 星际之门概念股 | 智能家居 | 智能驾驶概念股 | 段永平持仓概念 | 美国降息利好概念 | 虚拟现实 | 远程办公概念 | 量子计算概念,,True,2979.5451597744,True
US.AMZN,亚马逊,NASDAQ,common stock,False,US,2688094076962.04,9779743085,1997-05-16,互联网零售,AI芯片 | ARK持仓 | BATMMAAN | DeepSeek概念股 | SaaS概念 | 云计算服务商 | 人工智能 | 佩洛西持仓 | 圣诞节概念 | 巴菲特持仓 | 无人驾驶 | 明星科技股 | 智能家居 | 智能驾驶概念股 | 机器人概念股 | 流媒体概念 | 美国知名零售商 | 美国降息利好概念 | 黑色星期五概念,,True,2688.09407696204,False
US.TSM,台积电,NYSE,common stock,False,US,2125118519364.96,4672025096,1997-10-08,半导体,AI PC | AI芯片 | ARK持仓 | 人工智能 | 元宇宙概念 | 半导体精选 | 明星科技股 | 段永平持仓概念 | 热门中概股,,True,2125.11851936496,True
US.AVGO,博通,NASDAQ,common stock,False,US,1781475905141.1,4621656308,1970-01-01,半导体,5G概念 | AI芯片 | BATMMAAN | 人工智能 | 佩洛西持仓 | 元宇宙概念 | 半导体精选 | 明星科技股 | 智能驾驶概念股 | 苹果概念,,True,1781.4759051411002,True
US.SPCX,SpaceX,NASDAQ,common stock,False,US,1725302516383.88,555555555,2026-06-12,,,,,1725.30251638388,False
US.META,Meta Platforms,NASDAQ,common stock,False,US,1686883822440.16,2182358519,2012-05-18,互联网内容与信息,AI眼镜概念股 | ARK持仓 | BATMMAAN | DeepSeek概念股 | 人工智能 | 元宇宙概念 | 区块链概念 | 明星科技股 | 社交媒体 | 美国降息利好概念 | 脑机接口 | 虚拟现实,,True,1686.88382244016,True
US.TSLA,特斯拉,NASDAQ,common stock,False,US,1468713376993.26,2625450735,2010-06-29,汽车制造,AI芯片 | BATMMAAN | DeepSeek概念股 | 人工智能 | 佩洛西持仓 | 充电桩 | 新能源汽车 | 无人驾驶 | 明星科技股 | 智能驾驶概念股 | 机器人概念股 | 特朗普概念股 | 美国降息利好概念 | 脑机接口,,True,1468.71337699326,False
US.SKHY,SK海力士,NASDAQ,common stock,False,US,1110135043050.0,5813164970,2026-07-10,,,,,1110.13504305,False
US.LLY,礼来,NYSE,common stock,False,US,1101055799653.02,939326193,1970-01-01,一般药品制造商,减肥药概念 | 特朗普概念股,,True,1101.0557996530201,False
US.BRK.B,伯克希尔-B,NYSE,common stock,False,US,1063587931762.24,1737233677,1970-01-01,多元化保险,段永平持仓概念,,True,1063.58793176224,False
US.BRK.A,伯克希尔-A,NYSE,common stock,False,US,1061891365500.0,1158189,1988-11-29,多元化保险,,,True,1061.8913655,False
US.MU,美光科技,NASDAQ,common stock,False,US,963598236433.2,1087000601,2009-12-30,半导体,AI PC | 人工智能 | 半导体精选 | 存储概念股 | 明星科技股 | 苹果概念,,True,963.5982364332,True
US.WMT,沃尔玛,NASDAQ,common stock,False,US,914781198867.25,4358009563,1972-08-25,折扣店,圣诞节概念 | 美国知名零售商 | 股息贵族 | 黑色星期五概念,,True,914.78119886725,False
US.JPM,摩根大通,NYSE,common stock,False,US,912161330000.0,2643915971,1970-01-01,多元化银行,特朗普概念股 | 财产管理,,True,912.16133,False
US.AMD,美国超微公司,NASDAQ,common stock,False,US,816833084100.66,1603405287,1972-09-01,半导体,AI PC | AI眼镜概念股 | AI芯片 | ARK持仓 | IDC概念 | 人工智能 | 区块链概念 | 半导体精选 | 明星科技股 | 脑机接口,,True,816.83308410066,True
US.V,Visa,NYSE,common stock,False,US,691746029818.98,1667222054,2008-03-19,信贷,佩洛西持仓 | 信用支付 | 巴菲特持仓 | 数字支付 | 稳定币概念 | 黑色星期五概念,,True,691.74602981898,False
US.ASML,阿斯麦,NASDAQ,common stock,False,US,685568567000.0,384100000,1970-01-01,半导体设备与材料,AI PC | 人工智能 | 半导体精选 | 明星科技股 | 段永平持仓概念,,True,685.568567,True
US.XOM,埃克森美孚,NYSE,common stock,False,US,604955038293.9,4136177415,1970-01-01,综合油气,天然气 | 特朗普概念股 | 避险资产 | 页岩油,,True,604.9550382939,True
US.JNJ,强生,NYSE,common stock,False,US,601732026240.87,2403224688,1970-01-01,一般药品制造商,CAR-T疗法 | 流行病诊疗,,True,601.73202624087,False
US.INTC,英特尔,NASDAQ,common stock,False,US,487421480000.0,5016540735,1971-10-21,半导体,5G概念 | AI PC | AI芯片 | IDC概念 | 人工智能 | 元宇宙概念 | 半导体精选 | 无人驾驶 | 明星科技股 | 智能驾驶概念股 | 英伟达持仓概念 | 苹果概念 | 量子计算概念,,True,487.42148,True
US.MA,万事达,NYSE,common stock,False,US,487331839386.7,875799978,2006-05-25,信贷,ESG概念 | 信用支付 | 巴菲特持仓 | 数字支付 | 黑色星期五概念,,True,487.33183938670004,False
US.ABBV,艾伯维公司,NYSE,common stock,False,US,449454425734.19,1763619679,1970-01-01,一般药品制造商,,,True,449.45442573419,False
US.AMAT,应用材料,NASDAQ,common stock,False,US,445355663069.9,789774487,1978-01-06,半导体设备与材料,OLED概念 | 人工智能 | 光伏太阳能 | 半导体精选,,True,445.3556630699,True
US.CSCO,思科,NASDAQ,common stock,False,US,432217725363.9,3934718256,1990-02-16,通讯设备,5G概念 | AI芯片 | 明星科技股 | 网络安全概念 | 远程办公概念,,True,432.2177253639,True
US.BAC,美国银行,NYSE,common stock,False,US,431534819115.4,6990473922,1979-06-05,多元化银行,巴菲特持仓 | 特朗普概念股 | 财产管理,,True,431.5348191154,False
US.COST,好市多,NASDAQ,common stock,False,US,419340252698.28,442245403,1970-01-01,折扣店,圣诞节概念 | 美国知名零售商 | 黑色星期五概念,,True,419.34025269828004,False
US.CAT,卡特彼勒,NYSE,common stock,False,US,404017469728.11,459157673,1970-01-01,农业和重型机械,ARK持仓 | 美国基建股 | 股息贵族,,True,404.01746972811,False
US.LRCX,泛林集团,NASDAQ,common stock,False,US,401383268160.0,1243897832,1970-01-01,半导体设备与材料,人工智能 | 半导体精选,,True,401.38326816,True
US.UNH,联合健康,NYSE,common stock,False,US,384490177765.52,905425565,1984-10-19,医疗计划,巴菲特持仓 | 特朗普概念股,,True,384.49017776552,False
US.CVX,雪佛龙,NYSE,common stock,False,US,366175159005.52,1896570732,1970-01-01,综合油气,ESG概念 | 天然气 | 特朗普概念股 | 避险资产 | 页岩油,,True,366.17515900552,True
US.KO,可口可乐,NYSE,common stock,False,US,365366806936.56,3876638664,1970-01-01,非酒精饮料,巴菲特持仓,,True,365.36680693656,False
US.GE,GE航天航空,NYSE,common stock,False,US,358716487619.49,1033604414,1970-01-01,航空航天与国防,ARK持仓 | 人工智能 | 机器人概念股,,True,358.71648761949,True
US.ORCL,甲骨文,NYSE,common stock,False,US,357783302910.0,1706183969,2013-07-15,软件基础设施,DeepSeek概念股 | SaaS概念 | 云计算服务商 | 人工智能 | 明星科技股 | 星际之门概念股 | 美国降息利好概念 | 量子计算概念,,True,357.78330291,True
US.PG,宝洁,NYSE,common stock,False,US,352782745167.0,2324294747,1970-01-01,家庭和个人用品,双十一,,True,352.782745167,False
US.HD,家得宝,NYSE,common stock,False,US,347016547669.64,995402577,1981-09-25,家居装修零售,圣诞节概念 | 美国知名零售商,,True,347.01654766964003,False
US.HSBC,汇丰控股,NYSE,common stock,False,US,345065056000.0,3385600296,1970-01-01,多元化银行,,,True,345.065056,False
US.MS,摩根士丹利,NYSE,common stock,False,US,343277640000.0,1196321519,1986-03-21,资本市场,特朗普概念股 | 财产管理,,True,343.27764,False
US.GS,高盛,NYSE,common stock,False,US,323168829408.66,293293714,1999-05-04,资本市场,特朗普概念股 | 财产管理,,True,323.16882940866,False
US.PLTR,Palantir,NASDAQ,common stock,False,US,322294622187.88,2165423263,2020-09-30,软件基础设施,AI应用软件股 | ARK持仓 | DeepSeek概念股 | WSB热门概念 | 人工智能,,True,322.29462218788,True
US.MRK,默沙东,NYSE,common stock,False,US,315223690086.45,2465702855,1970-01-01,一般药品制造商,ESG概念 | 抗癌医药 | 流行病诊疗 | 特朗普概念股,,True,315.22369008645,False
US.NFLX,奈飞,NASDAQ,common stock,False,US,313072870556.8,4181378650,2002-05-23,娱乐,佩洛西持仓 | 明星科技股 | 流媒体概念,,True,313.0728705568,False
US.RY,加拿大皇家银行,NYSE,common stock,False,US,300264340723.45,1388358332,1970-01-01,多元化银行,,,True,300.26434072345,False
US.PM,菲利普莫里斯,NYSE,common stock,False,US,295876811324.64,1554575850,1970-01-01,烟草,,,True,295.87681132464,False
US.NVS,诺华制药,NYSE,common stock,False,US,291422885814.45,1863730717,1970-01-01,一般药品制造商,CAR-T疗法 | 抗癌医药,,True,291.42288581445,False
US.PANW,Palo Alto Networks,NASDAQ,common stock,False,US,288501850000.0,808177026,1970-01-01,软件基础设施,DeepSeek概念股 | 佩洛西持仓 | 网络安全概念,,True,288.50185,True
US.KLAC,科磊,NASDAQ,common stock,False,US,286557592817.7,1303201210,1970-01-01,半导体设备与材料,AI眼镜概念股 | 人工智能 | 光伏太阳能 | 半导体精选,,True,286.5575928177,True
US.BABA,阿里巴巴,NYSE,common stock,False,US,281631170492.19,2279547437,2014-09-19,互联网零售,China's Terrific | DeepSeek概念股 | NFT概念 | SaaS概念 | 云计算服务商 | 人工智能 | 双十一 | 明星科技股 | 智能驾驶概念股 | 段永平持仓概念 | 热门中概股,,True,281.63117049219,False
US.ARM,Arm Holdings,NASDAQ,common stock,False,US,279847315907.6,142713674,2023-09-14,半导体,AI PC | 人工智能 | 星际之门概念股 | 昨日强势股,,True,279.8473159076,True
US.GEV,GE Vernova,NYSE,common stock,False,US,278453033218.9,268172136,2024-03-27,专用工业机械,储能概念股 | 核电,,True,278.45303321890003,False
US.WFC,富国银行,NYSE,common stock,False,US,266719995000.0,3020108271,1970-01-01,多元化银行,特朗普概念股 | 财产管理,,True,266.719995,False
US.TXN,德州仪器,NASDAQ,common stock,False,US,265037222595.02,908269216,2012-01-03,半导体,AI PC | ESG概念 | 半导体精选 | 无线充电 | 特朗普概念股 | 苹果概念,,True,265.03722259502,True
US.AZN,阿斯利康,NYSE,common stock,False,US,262547965129.23,1543083288,1970-01-01,一般药品制造商,流行病诊疗,,True,262.54796512923,False
US.RTX,雷神技术,NYSE,common stock,False,US,261741391066.08,1251640147,1970-01-01,航空航天与国防,太空概念 | 机器人概念股 | 美国国防航空,,True,261.74139106608,True
US.DELL,戴尔科技,NYSE,common stock,False,US,253656505517.58,303557895,2016-09-07,计算机硬件,5G概念 | AI PC | 人工智能,,True,253.65650551757997,True
US.MUFG,三菱日联金融,NYSE,common stock,False,US,249557188247.96,11171859085,1970-01-01,多元化银行,日企美股精选 | 稳定币概念,,True,249.55718824796,False
US.AXP,美国运通,NYSE,common stock,False,US,246708771995.51,529247814,1977-05-18,信贷,佩洛西持仓 | 信用支付 | 巴菲特持仓 | 数字支付 | 黑色星期五概念,,True,246.70877199551,False
US.LIN,林德气体,NASDAQ,common stock,False,US,240762738209.4,460782234,1970-01-01,特殊化工用品,氢能源,,True,240.7627382094,True
US.SHEL,壳牌,NYSE,common stock,False,US,235764481836.0,2699995437,1970-01-01,综合油气,避险资产,,True,235.764481836,True
US.NVO,诺和诺德,NYSE,common stock,False,US,229858200000.0,3189883520,1970-01-01,一般药品制造商,减肥药概念,,True,229.8582,False
US.C,花旗集团,NYSE,common stock,False,US,220930354000.0,1672539936,1986-10-31,多元化银行,财产管理,,True,220.930354,False
US.TM,丰田汽车,NYSE,common stock,False,US,212866161197.76,956333402,1970-01-01,汽车制造,固态电池 | 新能源汽车 | 无人驾驶 | 日企美股精选,,True,212.86616119776002,False
US.ANET,Arista Networks,NYSE,common stock,False,US,212251189076.08,1038551557,1970-01-01,计算机硬件,人工智能,,True,212.25118907607998,True
US.SNDK,闪迪,NASDAQ,common stock,False,US,208966495718.64,146000890,1970-01-01,计算机硬件,存储概念股 | 昨日强势股,,True,208.96649571864,True
US.TMUS,T-Mobile US,NASDAQ,common stock,False,US,208703179673.45,495820736,1970-01-01,电信服务,5G概念,,True,208.70317967345002,True
US.CRWD,CrowdStrike,NASDAQ,common stock,False,US,207480510892.8,977350536,2019-06-12,软件基础设施,ARK持仓 | DeepSeek概念股 | SaaS概念 | 人工智能 | 佩洛西持仓 | 网络安全概念,,True,207.4805108928,True
US.IBM,IBM Corp,NYSE,common stock,False,US,205881870584.0,937885896,1970-01-01,信息技术服务,AI芯片 | 云计算服务商 | 人工智能 | 区块链概念 | 量子计算概念,,True,205.881870584,False
US.BHP,必和必拓,NYSE,common stock,False,US,205031252375.32,2464063093,1970-01-01,其他工业金属与采矿,特斯拉概念 | 铜概念,,True,205.03125237532,True
US.TD,多伦多道明银行,NYSE,common stock,False,US,204689118900.0,1624497207,1970-01-01,多元化银行,,,True,204.6891189,False
US.TMO,赛默飞世尔,NYSE,common stock,False,US,201861063573.35,370666775,1970-01-01,诊断与研究,机器人概念股 | 流行病诊疗,,True,201.86106357335,False
US.AMGN,安进,NASDAQ,common stock,False,US,200544800452.92,538225644,1970-01-01,一般药品制造商,ARK持仓 | CAR-T疗法 | 减肥药概念,,True,200.54480045292001,False
US.SAN,桑坦德银行,NYSE,common stock,False,US,195009889853.28,14090039179,1970-01-01,多元化银行,,,True,195.00988985328,False
US.MCD,麦当劳,NYSE,common stock,False,US,194294932202.14,709367918,1970-01-01,餐厅,,,True,194.29493220214002,False
US.PEP,百事可乐,NASDAQ,common stock,False,US,190306829931.94,1361000921,1970-01-01,非酒精饮料,,,True,190.30682993194,False
US.SAP,SAP SE,NYSE,common stock,False,US,188724244518.72,1042907716,1970-01-01,应用软件,AI应用软件股 | DeepSeek概念股 | SaaS概念,,True,188.72424451872,False
US.APH,安费诺,NYSE,common stock,False,US,188398102907.3,1222382246,1970-01-01,电子元件,光通信 | 苹果概念,,True,188.3981029073,True
US.NEE,新纪元能源,NYSE,common stock,False,US,186348838737.3,2081178435,1970-01-01,受监管电力,可再生能源 | 核电 | 股息贵族,,True,186.34883873729999,False
US.ADI,亚德诺,NASDAQ,common stock,False,US,185351231331.2,485263561,1970-01-01,半导体,5G概念 | AI PC | 半导体精选,,True,185.3512313312,True
