ticker,name,industry_labels,buy_cost,sell_proceeds,ending_market_value,estimated_commission,pnl_dollar,contribution_initial_capital,buy_count,sell_count,first_entry_date,last_exit_date,status
US.BHP,必和必拓,其他工业金属与采矿,1428645.087547893,1439314.1461912189,0.0,2294.367386991289,8374.691256334641,0.016749382512669282,16,16,2021-12-20,2026-04-13,已退出
US.GOOG,谷歌-C,互联网内容与信息,2050618.7163756727,2062232.9357228803,0.0,3290.2813216788422,8323.938025528732,0.016647876051057466,26,26,2021-07-19,2026-05-26,已退出
US.HWM,Howmet Aerospace,航空航天与国防,1974442.643788536,1985264.93018468,0.0,3167.766059178573,7654.520336965385,0.015309040673930768,28,28,2022-01-10,2026-03-09,已退出
US.TXN,德州仪器,半导体,1404822.1022167176,1414422.704986288,0.0,2255.3958457624044,7345.20692380802,0.014690413847616041,15,15,2021-09-20,2026-05-26,已退出
US.ADI,亚德诺,半导体,1183765.1176282384,1190734.6569877344,0.0,1899.5998196927783,5069.939539803197,0.010139879079606394,16,16,2021-09-20,2026-03-02,已退出
US.TSM,台积电,半导体,1712288.6744469532,1719717.5024816664,0.0,2745.6049415428956,4683.223093170271,0.00936644618634054,24,24,2021-07-16,2026-02-17,已退出
US.MSFT,微软,软件基础设施,1155208.2384675068,1161524.6066056984,0.0,1853.3862760585641,4462.981862132959,0.008925963724265917,19,19,2021-07-19,2025-06-23,已退出
US.BP,英国石油,综合油气,1644890.6885267491,1649821.651755905,0.0,2635.7698722261234,2295.193356929743,0.004590386713859486,24,24,2021-09-27,2026-04-06,已退出
US.CVX,雪佛龙,综合油气,1853224.0064728083,1858188.3479334884,0.0,2969.1298835250373,1995.2115771550862,0.003990423154310172,26,26,2021-10-04,2026-04-06,已退出
US.VZ,Verizon,电信服务,1114473.706909804,1114240.27158516,0.0,1782.971182795971,-2016.4065074399423,-0.004032813014879884,14,14,2022-06-21,2026-03-30,已退出
US.GLW,康宁,电子元件,2488950.195488463,2490096.1527139554,0.0,3983.237078561935,-2837.279853069711,-0.005674559706139422,25,25,2022-01-31,2026-07-06,已退出
US.LIN,林德气体,特殊化工用品,1842120.5691446476,1841821.536800359,0.0,2947.153684756005,-3246.1860290446634,-0.0064923720580893265,26,26,2021-08-16,2026-07-13,已退出
US.UNP,联合太平洋,铁路运输,1589377.8211783795,1248448.3045026287,338650.80971608503,2270.2609005448066,-4548.96786021056,-0.00909793572042112,16,15,2021-10-18,2026-06-15,当前持有
US.GE,GE航天航空,航空航天与国防,2125019.753440557,2121322.8441480226,0.0,3397.074078070864,-7093.983370605323,-0.014187966741210646,28,28,2022-08-15,2026-07-13,已退出
US.TMUS,T-Mobile US,电信服务,1806609.496191329,1796470.6078123646,0.0,2882.464083202955,-13021.352462167459,-0.026042704924334917,25,25,2021-07-19,2026-03-16,已退出
US.NEM,纽曼矿业,黄金,2265924.780268422,2252722.770974666,0.0,3614.91804099447,-16816.927334750453,-0.033633854669500904,30,30,2021-12-20,2026-02-02,已退出
US.XOM,埃克森美孚,综合油气,1644477.6077957049,1629901.2590306173,0.0,2619.5030934610577,-17195.851858548605,-0.03439170371709721,22,22,2021-10-04,2026-03-16,已退出
US.LRCX,泛林集团,半导体设备与材料,2350307.0642255414,2334620.2217580606,0.0,3747.941828786881,-19434.784296267688,-0.038869568592535375,27,27,2021-11-22,2026-06-29,已退出
US.SPGI,标普全球,金融数据与证券交易所,1975537.3599476991,1957106.2072403007,0.0,3146.1148537504,-21577.267561148805,-0.04315453512229761,24,24,2021-07-19,2026-07-13,已退出
US.SCCO,南方铜业,铜,2316634.0204352513,2297921.764433919,0.0,3691.6446278953363,-22403.900629227646,-0.04480780125845529,31,31,2021-08-16,2026-03-09,已退出
