date,position,ticker,name,shares,weight,gross_market_value,unrealized_pnl_pct
2026-07-24,多头,US.UNP,联合太平洋,1174.4028634903766,0.11433023842246345,360917.4880078625,0.08612289802908046
2026-07-24,多头,US.HWM,Howmet Aerospace,1160.9434377495302,0.10637819720467442,335814.4988034291,0.05286031419832682
2026-07-24,多头,US.CVX,雪佛龙,1711.283847796559,0.10559464439136257,333340.9807122917,0.04510523202084604
2026-07-24,多头,US.SHEL,壳牌,3701.7541570601597,0.10363698097147384,327161.0324009769,0.025729587598211978
2026-07-24,多头,US.ENB,恩桥,5623.47976726091,0.10128967448446767,319751.05956645537,0.0024975164560956387
2026-07-24,多头,US.FTNT,飞塔信息,1984.5928222742307,0.09579085882574367,302392.4083299245,-0.05192608663452358
2026-07-24,多头,US.SPGI,标普全球,703.8350951693845,0.09506951915706331,300115.28458022553,-0.05906542467716125
2026-07-24,多头,US.TMUS,T-Mobile US,1658.0312133068055,0.09458787817418132,298594.8412044226,-0.05704856199905706
2026-07-24,多头,US.PANW,Palo Alto Networks,898.7231281180113,0.09218123729004801,290997.5616533309,-0.0876517086517633
2026-07-24,多头,US.CRWD,CrowdStrike,1569.8004136597447,0.0911407710785217,287713.019815558,-0.09794954797566757
